surface_form,search_arg,kind,pos_filter,ambiguity_flag,idiom_family,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,n_decades_pass,min_count,max_count,total_count,notes
Neurasthenia,neurasthen,stem,,low,,0,0,0,0,0,0,14,3,9,25,21,31,23,4,2,8,8,1,2,3,0,0,31,154,"Catches neurasthenia, neurasthenic, neurasthenics."
Psychasthenia,psychasthen,stem,,low,,0,0,0,0,0,0,0,0,0,2,1,1,2,0,1,1,0,0,0,0,0,0,2,8,
Hysteria,hysteri,stem,,low,,30,50,56,82,85,241,201,243,327,401,574,603,660,570,558,553,436,383,375,311,19,30,660,6739,"Catches hysteria, hysterical, hysterics, hysteric."
Paranoia,paranoi,stem,,low,,0,0,0,0,0,0,0,5,2,17,15,16,133,45,177,267,260,323,355,412,7,0,412,2027,"Catches paranoia, paranoid, paranoiac."
Psychosis,psychos,stem,,med,,0,0,0,0,0,0,0,0,4,3,17,12,191,77,93,97,100,100,166,135,8,0,191,995,Also catches psychosomatic; consider narrowing to 'psychosis' / 'psychotic' if noise.
Psychotic,psychotic,stem,,low,,0,0,0,0,0,0,0,0,0,0,2,2,92,53,91,88,69,123,120,101,8,0,123,741,
Schizophrenia,schizophren,stem,,low,,0,0,0,0,0,0,0,1,0,0,4,26,100,90,106,115,99,101,125,155,8,0,155,922,"Catches schizophrenia, schizophrenic, schizophrenics."
Dementia praecox,dementia praecox,phrase,,low,,0,0,0,0,0,0,0,0,0,0,3,9,16,4,4,3,0,1,1,0,0,0,16,41,
Brain fever,brain fever,phrase,,low,,1,3,3,9,11,20,21,10,10,10,8,6,5,2,2,4,2,0,0,1,0,0,21,128,
Cerebral disease,cerebral disease,phrase,,low,,0,1,0,3,16,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,16,26,
Degeneration,degener,stem,,low,,97,140,168,165,187,153,159,215,260,223,221,216,168,150,157,165,175,214,182,173,20,97,260,3588,"Catches degeneration, degenerate, degenerative, degeneracy."
Delusion,delusion,stem,,low,,133,230,222,239,298,271,222,209,185,160,180,175,217,119,120,168,132,165,228,213,20,119,298,3886,
Delusional insanity,delusional insanity,phrase,,low,,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4,
Hallucination,hallucin,stem,,low,,1,26,27,33,48,77,49,45,66,52,73,50,104,78,255,154,166,161,236,237,13,1,255,1938,"Catches hallucination, hallucinate, hallucinatory, hallucinogenic."
Obsession,obsess,stem,,low,,0,0,0,0,2,3,3,18,42,144,191,190,218,252,363,416,622,773,993,887,11,0,993,5117,"Catches obsession, obsessive, obsessed, obsesses."
Shell shock,shell shock,phrase,,low,,0,0,0,0,0,0,0,0,0,4,16,2,6,2,2,5,10,4,9,3,0,0,16,63,"Also catches 'shell shocks', 'shell shocked' via prefix on slot 2."
Battle fatigue,battle fatigue,phrase,,low,,0,0,0,0,0,0,0,0,0,0,0,0,3,8,10,10,9,5,8,4,0,0,10,57,
Combat neurosis,combat neurosis,phrase,,low,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,
War neurosis,war neurosis,phrase,,low,,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,1,0,0,0,9,11,
Soldier's heart (hyphen tokenization),soldier's heart,phrase,,med,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verify tokenization of apostrophe with a spot query.
Soldiers heart (no apostrophe),soldiers heart,phrase,,med,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Backup if COHA splits 'soldier's' into three tokens.
Railway spine,railway spine,phrase,,low,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Traumatic neurosis,traumatic neurosis,phrase,,low,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,
Brain fag,brain fag,phrase,,low,,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,3,6,
Brain fog,brain fog,phrase,,low,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,4,8,
Brain storm,brain storm,phrase,,med,,0,0,0,0,0,0,0,0,0,0,2,3,2,5,0,0,0,2,1,1,0,0,5,16,Modern 'brainstorm' (one word) is a different sense; matter for drift analysis.
Nervous prostration,nervous prostration,phrase,,low,,0,0,0,0,3,8,17,37,30,15,16,0,1,2,1,2,1,0,0,0,0,0,37,133,
prostration,prostration,stem,,med,,14,67,51,37,39,76,62,84,58,43,36,19,13,12,14,15,8,5,1,4,6,1,84,658,Also has religious/physical-exhaustion senses.
breakdown,breakdown,stem,,med,,0,0,0,0,15,16,10,13,51,89,138,257,270,300,338,383,288,273,266,282,12,0,383,2989,Mechanical breakdown dominates in some genres.
