pair_index,trial,target_n,fgw_cost,feature_cost,structure_cost
1,4,59,0.0593155458265075,0.11509707657209907,0.0006072906875690624
1,5,59,0.060902893629165934,0.116367763697596,0.0005501138152230463
1,6,59,0.07732626426110913,0.15130781483347142,0.0007484244062662821
1,7,59,0.05539235897400402,0.10713678910318075,0.0006736180868727018
1,8,59,0.044106662651908574,0.08641430882705475,0.00018727217103100386
1,9,59,0.058584821570365514,0.11171441880070565,0.0009535005984245337
1,10,59,0.06351109030864457,0.12062957992745668,0.0013878842052022131
1,11,59,0.06004805279753336,0.1176508279422583,0.0006823831754479055
1,12,59,0.06707472831969445,0.13019865811881381,0.00035567041985419014
1,13,59,0.06834911258258929,0.13015672501366027,0.0009579693750141891
1,14,59,0.05061570359356791,0.09963562637567527,0.0005268663248577511
1,15,59,0.0721967638700753,0.13444296007944376,0.0032360087343562844
1,16,59,0.05820364964397803,0.11230558553489597,0.0006474918962707034
1,17,59,0.043390818068012524,0.08516245316398352,0.00030581865412165237
1,18,59,0.06323644157673522,0.11990702620754817,0.001484151193807932
1,19,59,0.05139380980586175,0.09913741285770633,0.0007664566850864163
1,20,59,0.05545110459045613,0.10938857298786366,0.0006591495860122295
1,21,59,0.05935616178235663,0.11597973581845483,0.00034708070090808905
1,22,59,0.0565657706735293,0.1113742924721565,0.0005105311217775568
1,23,59,0.06732903210312807,0.13032402459342607,0.0008405068370433085
1,24,59,0.06346441777065907,0.12249783887448965,0.0009228639905273422
1,25,59,0.05049323324495476,0.09844676354679016,0.00023092600360169563
1,26,59,0.048174135370037674,0.09528440279980843,0.00017679648787227248
1,27,59,0.065592626959368,0.12600792498659288,0.0003829319683902416
1,28,59,0.06749068738018213,0.13065889442371117,0.0009154671573123362
1,29,59,0.054009731953142466,0.10145087072909895,0.0006121133245173861
1,30,59,0.06256647226946509,0.12283152315323645,0.000241225169695662
1,31,59,0.04660334409113184,0.09147311394750067,0.0002630900916884664
1,32,59,0.06655696577679761,0.12623554047639096,0.0012769120816973189
1,33,59,0.056324525960624566,0.10890217106473654,0.00034436262731736187
1,34,59,0.045583699322910814,0.08934292103779524,6.947854826783069e-05
1,35,59,0.0509973742440151,0.09870204678026304,0.0007032249158950559
1,36,59,0.06830134246264875,0.13048106982546348,0.0010461247132790787
1,37,59,0.052821482412453456,0.10356471556223053,0.0003054648206918389
1,38,59,0.06289206985857326,0.12108922578015578,0.0011820653762830576
1,39,59,0.052900972869124194,0.10268260360521794,0.0010491218775969923
1,40,59,0.05741430470505445,0.11080894639431427,0.0003159327267070421
1,41,59,0.059576983973442105,0.11532400265588608,0.00029343023978411624
1,42,59,0.05041412566510295,0.0988689523253401,0.00029452321917526354
1,43,59,0.0696286886087217,0.13444478335016874,0.0005592081826867538
1,44,59,0.05461851776179163,0.1058430423297115,0.000584514424066742
1,45,59,0.05649483932621398,0.11024706657912779,0.00021444192494231868
1,46,59,0.05185548339860105,0.10169261264598983,0.0001770404250505742
1,47,59,0.05172691603180668,0.10171281809018837,0.000447490728223428
1,48,59,0.06126835903723928,0.11911537836668863,0.0006522665335521492
1,49,59,0.053229612491913,0.10384168441770447,0.00025355285905877983
1,50,59,0.07613014070395864,0.14472248432999962,0.00030796260366103544
1,51,59,0.06836121314753074,0.1304290669323025,0.0014227586544114535
1,52,59,0.06087544345112556,0.12043980623958483,0.00015602211777037247
1,53,59,0.05433884275377121,0.10707335343300292,0.00039921294532123023
1,54,59,0.059058777389064857,0.11447783135256533,0.0011760606656092342
1,55,59,0.045745528551550785,0.090351246234219,0.000120604170306816
